Underfed_Traces,Fit_Traces
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_32_Busy'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'T_44_Busy'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_32_Busy'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'T_44_Busy'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_32_Busy'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'T_44_Busy'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_32_Busy'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'T_44_Busy'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_32_Busy'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'T_44_Busy'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_32_Busy'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'T_44_Busy'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_32_Busy'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'T_44_Busy'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_32_Busy'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'T_44_Busy'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_32_Busy'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'T_44_Busy'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_32_Busy'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'T_44_Busy'}]}"
"{{'attributes': {}, 'events': [{'concept:name': 'T_32_Busy'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'T_44_Busy'}, {'concept:name': 'T_44_Busy'}]}","{{'attributes': {}, 'events': [{'concept:name': 'T_32_Busy'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'T_44_Busy'}]}"
"{{'attributes': {}, 'events': [{'concept:name': 'T_32_Busy'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'T_44_Busy'}, {'concept:name': 'T_44_Busy'}, {'concept:name': 'T_44_Busy'}, {'concept:name': 'T_44_Busy'}]}","{{'attributes': {}, 'events': [{'concept:name': 'T_32_Busy'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'T_44_Busy'}]}"
