Underfed_Traces,Fit_Traces
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_done'}]}: [{'concept:name': 'T_6_done'}, {'concept:name': 'T_6_done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_done'}]}: [{'concept:name': 'T_6_done'}, {'concept:name': 'T_6_done'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_done'}]}: [{'concept:name': 'T_6_done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_done'}]}: [{'concept:name': 'T_6_done'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_done'}]}: [{'concept:name': 'T_6_done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_done'}]}: [{'concept:name': 'T_6_done'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_done'}]}: [{'concept:name': 'T_6_done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_done'}]}: [{'concept:name': 'T_6_done'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_done'}]}: [{'concept:name': 'T_6_done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_done'}]}: [{'concept:name': 'T_6_done'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_done'}]}: [{'concept:name': 'T_6_done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_done'}]}: [{'concept:name': 'T_6_done'}]}"
"{{'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_0_rebooting'}]}: [{'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_0_rebooting'}]}: [{'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_0_Busy'}]}: [{'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_0_Busy'}]}: [{'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_0_Busy'}]}: [{'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_0_rebooting'}]}: [{'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_0_Busy'}]}: [{'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_0_Busy'}]}: [{'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_0_rebooting'}]}: [{'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_done'}]}: [{'concept:name': 'T_6_done'}, {'concept:name': 'T_6_done'}]}","{{'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_0_rebooting'}]}: [{'concept:name': 'T_0_Busy'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_0_rebooting'}]}: [{'concept:name': 'T_0_Busy'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_0_Busy'}]}: [{'concept:name': 'T_0_Busy'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_0_Busy'}]}: [{'concept:name': 'T_0_Busy'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_0_Busy'}]}: [{'concept:name': 'T_0_Busy'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_0_rebooting'}]}: [{'concept:name': 'T_0_Busy'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_0_Busy'}]}: [{'concept:name': 'T_0_Busy'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_0_Busy'}]}: [{'concept:name': 'T_0_Busy'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_0_rebooting'}]}: [{'concept:name': 'T_0_Busy'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_done'}]}: [{'concept:name': 'T_6_done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_done'}]}: [{'concept:name': 'T_6_done'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_done'}]}: [{'concept:name': 'T_6_done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_done'}]}: [{'concept:name': 'T_6_done'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_done'}]}: [{'concept:name': 'T_6_done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_done'}]}: [{'concept:name': 'T_6_done'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_done'}]}: [{'concept:name': 'T_6_done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_done'}]}: [{'concept:name': 'T_6_done'}]}"
