Underfed_Traces,Fit_Traces
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}, {'concept:name': 'simulation_successful'}, {'concept:name': 'simulation_successful'}], {'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}, {'concept:name': 'simulation_successful'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}], {'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}], {'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}], {'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}], {'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}, {'concept:name': 'simulation_successful'}, {'concept:name': 'simulation_successful'}], {'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}, {'concept:name': 'simulation_successful'}, {'concept:name': 'simulation_successful'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}], {'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}], {'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}, {'concept:name': 'simulation_successful'}, {'concept:name': 'simulation_successful'}], {'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}, {'concept:name': 'simulation_successful'}]}"
"{{'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}], {'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}]}","{{'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}, {'concept:name': 'simulation_successful'}], {'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}]}"
"{{'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}], {'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}]}","{{'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}, {'concept:name': 'simulation_successful'}], {'attributes': {}, 'events': [{'concept:name': 'T_6_ocupied'}, '..', {'concept:name': 'simulation_successful'}]}: [{'concept:name': 'simulation_successful'}]}"
