Underfed_Traces,Fit_Traces
"{{'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'time_out'}]}: [{'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'time_out'}]}: [{'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}, {'concept:name': 'T_0_Busy'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}, {'concept:name': 'T_6_Done'}, {'concept:name': 'T_6_Done'}, {'concept:name': 'T_6_Done'}, {'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}, {'concept:name': 'T_6_Done'}, {'concept:name': 'T_6_Done'}, {'concept:name': 'T_6_Done'}]}","{{'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'time_out'}]}: [{'concept:name': 'T_0_Busy'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'time_out'}]}: [{'concept:name': 'T_0_Busy'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'time_out'}]}: [{'concept:name': 'T_3_Busy'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'time_out'}]}: [{'concept:name': 'T_3_Busy'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}]}"
{},"{{'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}], {'attributes': {}, 'events': [{'concept:name': 'T_0_Busy'}, '..', {'concept:name': 'T_6_Done'}]}: [{'concept:name': 'T_6_Done'}]}"
